City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,queenstown,-31.8976,26.8753,284.52,40,6,2.45,ZA,1692652899
138,valparaiso,-33.0393,-71.6273,290.95,89,0,4.63,CL,1692652831
139,kiomboi,-4.2667,34.3667,293.58,37,22,2.54,TZ,1692652902
140,tucuma,-0.1833,-50.05,301.18,73,22,5.26,BR,1692652904
141,itaituba,-4.2761,-55.9836,309.24,46,40,2.57,BR,1692652467
142,mugia,43.1041,-9.2179,294.77,89,12,7.51,ES,1692652906
143,talas,38.6908,35.5538,294.52,46,0,2.57,TR,1692652907
144,acarau,-2.8856,-40.12,299.24,80,55,9.15,BR,1692652666
145,west island,-12.1568,96.8225,299.14,83,75,6.69,CC,1692652633
146,nchelenge,-9.3451,28.734,297.07,41,5,1.86,ZM,1692652910
147,papatowai,-46.5619,169.4708,278.7,73,41,1.98,NZ,1692652583
148,saint-francois,46.4154,3.9054,299.08,73,0,1.54,FR,1692652912
149,peniche,39.3558,-9.3811,294.88,87,39,6.57,PT,1692652913
150,turtas,58.9417,69.1325,284.51,85,100,2.14,RU,1692652914
151,warora,20.2333,79.0,297.01,92,100,1.97,IN,1692652915
152,lebyazh'ye,55.2689,66.4947,286.02,87,73,2.82,RU,1692652916
153,luderitz,-26.6481,15.1594,287.23,86,0,4.29,NA,1692652615
154,talara,-4.5772,-81.2719,298.57,73,40,6.79,PE,1692652918
155,anadyr,64.75,177.4833,285.43,71,0,7.0,RU,1692652593
156,heihe,50.2441,127.4902,289.47,98,100,5.57,CN,1692652919
157,constantia,44.1833,28.65,300.76,53,0,2.4,RO,1692652920
158,talnakh,69.4865,88.3972,285.49,91,100,1.21,RU,1692652536
159,fort st. john,56.2499,-120.8529,295.09,43,40,3.6,CA,1692652815
160,kabinda,-6.1333,24.4833,297.46,27,2,0.21,CD,1692652924
161,mildura,-34.2,142.15,283.75,89,72,6.4,AU,1692652925
162,kargasok,59.0556,80.8572,282.3,80,77,2.36,RU,1692652929
163,ust-tsilma,65.441,52.1498,279.36,96,100,0.77,RU,1692652931
164,portstewart,55.1813,-6.714,290.98,76,93,8.84,GB,1692652933
165,college,64.8569,-147.8028,286.52,91,75,6.17,US,1692652566
166,mount isa,-20.7333,139.5,283.02,50,8,1.54,AU,1692652937
167,nogliki,51.8333,143.1667,291.21,77,94,4.58,RU,1692652805
168,tolanaro,-25.0319,46.9987,293.19,94,75,5.14,MG,1692652939
169,bredasdorp,-34.5322,20.0403,284.16,74,8,5.03,ZA,1692652597
170,cabedelo,-6.9811,-34.8339,299.52,86,10,5.43,BR,1692652942
171,gorontalo,0.5412,123.0595,296.4,92,34,1.89,ID,1692652877
172,mammoth lakes,37.6485,-118.9721,290.26,54,40,5.66,US,1692652944
173,laramie,41.3114,-105.5911,305.36,10,0,5.14,US,1692652945
174,gorgoram,12.6398,10.7039,302.4,53,92,4.82,NG,1692652946
